Meldedatum,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
2020/08/22 00:00:00+00,914,2,912
2020/08/23 00:00:00+00,565,0,565
2020/08/24 00:00:00+00,1432,5,1427
2020/08/25 00:00:00+00,1478,2,1476
2020/08/26 00:00:00+00,1614,2,1611
2020/08/27 00:00:00+00,1541,1,1540
2020/08/28 00:00:00+00,1389,3,1386
2020/08/29 00:00:00+00,830,2,828
2020/08/30 00:00:00+00,537,3,534
2020/08/31 00:00:00+00,1184,4,1180
2020/09/01 00:00:00+00,1318,3,1315
2020/09/02 00:00:00+00,1416,3,1413
2020/09/03 00:00:00+00,1519,7,1512
2020/09/04 00:00:00+00,1492,7,1485
2020/09/05 00:00:00+00,1105,8,1097
2020/09/06 00:00:00+00,578,4,574
2020/09/07 00:00:00+00,1411,5,1406
2020/09/08 00:00:00+00,1378,18,1360
2020/09/09 00:00:00+00,1752,9,1743
2020/09/10 00:00:00+00,1592,6,1586
2020/09/11 00:00:00+00,1651,12,1639
2020/09/12 00:00:00+00,1224,8,1216
2020/09/13 00:00:00+00,759,8,750
2020/09/14 00:00:00+00,1480,5,1475
2020/09/15 00:00:00+00,2005,15,1990
2020/09/16 00:00:00+00,2197,15,2182
2020/09/17 00:00:00+00,2354,8,2346
2020/09/18 00:00:00+00,2172,14,2157
2020/09/19 00:00:00+00,1396,12,1384
2020/09/20 00:00:00+00,689,10,679
2020/09/21 00:00:00+00,1656,18,1638
2020/09/22 00:00:00+00,1813,15,1798
2020/09/23 00:00:00+00,2207,11,2196
2020/09/24 00:00:00+00,2396,17,2379
2020/09/25 00:00:00+00,2328,14,2314
2020/09/26 00:00:00+00,1788,25,1763
2020/09/27 00:00:00+00,875,7,868
2020/09/28 00:00:00+00,1821,19,1802
2020/09/29 00:00:00+00,2169,15,2154
2020/09/30 00:00:00+00,2733,16,2717
2020/10/01 00:00:00+00,2927,26,2901
2020/10/02 00:00:00+00,2917,24,2893
2020/10/03 00:00:00+00,2210,12,2198
2020/10/04 00:00:00+00,1153,9,1144
2020/10/05 00:00:00+00,2410,35,2375
2020/10/06 00:00:00+00,3582,27,3555
2020/10/07 00:00:00+00,4491,34,4456
2020/10/08 00:00:00+00,4676,39,4637
2020/10/09 00:00:00+00,5055,41,5014
2020/10/10 00:00:00+00,3635,38,3597
2020/10/11 00:00:00+00,2276,24,2252
2020/10/12 00:00:00+00,4189,61,4127
2020/10/13 00:00:00+00,5373,55,5318
2020/10/14 00:00:00+00,7250,61,7189
2020/10/15 00:00:00+00,7923,80,7843
2020/10/16 00:00:00+00,7970,88,7882
2020/10/17 00:00:00+00,5699,59,5639
2020/10/18 00:00:00+00,3683,53,3630
2020/10/19 00:00:00+00,6472,86,6386
2020/10/20 00:00:00+00,9437,128,9309
2020/10/21 00:00:00+00,12397,140,12257
2020/10/22 00:00:00+00,13897,194,13703
2020/10/23 00:00:00+00,14040,196,13844
2020/10/24 00:00:00+00,11104,121,10983
2020/10/25 00:00:00+00,7467,123,7344
2020/10/26 00:00:00+00,12028,238,11790
2020/10/27 00:00:00+00,15967,237,15730
2020/10/28 00:00:00+00,19258,239,19019
2020/10/29 00:00:00+00,19856,263,19593
2020/10/30 00:00:00+00,19420,248,19172
2020/10/31 00:00:00+00,14022,193,13829
2020/11/01 00:00:00+00,10538,168,10370
2020/11/02 00:00:00+00,15254,274,14980
2020/11/03 00:00:00+00,19345,323,19022
2020/11/04 00:00:00+00,21222,307,20915
2020/11/05 00:00:00+00,22278,330,21948
2020/11/06 00:00:00+00,21582,240,21342
2020/11/07 00:00:00+00,15935,214,15720
2020/11/08 00:00:00+00,10174,159,10015
2020/11/09 00:00:00+00,15962,307,15655
2020/11/10 00:00:00+00,19623,333,19289
2020/11/11 00:00:00+00,22703,412,22291
2020/11/12 00:00:00+00,23511,414,23096
2020/11/13 00:00:00+00,21364,402,20962
2020/11/14 00:00:00+00,15800,367,15433
2020/11/15 00:00:00+00,8870,218,8652
2020/11/16 00:00:00+00,14708,445,14263
2020/11/17 00:00:00+00,20350,499,19851
2020/11/18 00:00:00+00,23706,519,23186
2020/11/19 00:00:00+00,23745,547,23198
2020/11/20 00:00:00+00,22304,516,21787
2020/11/21 00:00:00+00,14793,332,14461
2020/11/22 00:00:00+00,8852,277,8575
2020/11/23 00:00:00+00,15096,456,14639
2020/11/24 00:00:00+00,19446,492,18954
2020/11/25 00:00:00+00,22088,571,21517
2020/11/26 00:00:00+00,22776,637,22139
2020/11/27 00:00:00+00,20152,617,19535
2020/11/28 00:00:00+00,14937,397,14540
2020/11/29 00:00:00+00,8796,323,8472
2020/11/30 00:00:00+00,13329,530,12799
2020/12/01 00:00:00+00,19250,647,18603
2020/12/02 00:00:00+00,23205,714,22491
2020/12/03 00:00:00+00,24451,822,23628
2020/12/04 00:00:00+00,22290,794,21495
2020/12/05 00:00:00+00,15721,501,15219
2020/12/06 00:00:00+00,10260,347,9913
2020/12/07 00:00:00+00,16470,667,15801
2020/12/08 00:00:00+00,22836,839,21996
2020/12/09 00:00:00+00,27691,825,26866
2020/12/10 00:00:00+00,29072,1044,28028
2020/12/11 00:00:00+00,27301,953,26348
2020/12/12 00:00:00+00,20638,752,19886
2020/12/13 00:00:00+00,12508,506,12002
2020/12/14 00:00:00+00,19083,806,18277
2020/12/15 00:00:00+00,26927,989,25937
2020/12/16 00:00:00+00,31363,1036,30326
2020/12/17 00:00:00+00,32049,1122,30927
2020/12/18 00:00:00+00,29787,1013,28773
2020/12/19 00:00:00+00,21750,752,20998
2020/12/20 00:00:00+00,13949,533,13416
2020/12/21 00:00:00+00,20377,893,19484
2020/12/22 00:00:00+00,29010,1167,27843
2020/12/23 00:00:00+00,34011,1210,32800
2020/12/24 00:00:00+00,21185,700,20485
2020/12/25 00:00:00+00,13215,506,12709
2020/12/26 00:00:00+00,11577,567,11010
2020/12/27 00:00:00+00,9837,513,9323
2020/12/28 00:00:00+00,15747,861,14885
2020/12/29 00:00:00+00,27556,1210,26342
2020/12/30 00:00:00+00,31111,1247,29864
2020/12/31 00:00:00+00,19650,754,18896
2021/01/01 00:00:00+00,10275,402,9873
2021/01/02 00:00:00+00,10016,569,9447
2021/01/03 00:00:00+00,8831,482,8349
2021/01/04 00:00:00+00,14229,750,13477
2021/01/05 00:00:00+00,27397,1004,26393
2021/01/06 00:00:00+00,27992,893,27097
2021/01/07 00:00:00+00,26158,990,25168
2021/01/08 00:00:00+00,24543,897,23646
2021/01/09 00:00:00+00,16657,575,16082
2021/01/10 00:00:00+00,8501,403,8098
